Membership Status,Satisfaction,Product Quality,Customer Service,Product Discounts,Early Access,Exclusive Products,Free Shipping,Personalized Recommendations,Rewards Points,Educational Content,Community Access,Likelihood to Renew,Cancellation Reason,Inflation Effect,Net Promoter Score,Improvement Suggestion,Age Range,Math Check,Membership Length,Gender,Household Income
Former member (cancelled more than 6 months ago),5,5,3,7,3,6,7,9,6,7,8,5,Not using products enough,Unsure,4,Lower pricing tiers,25-34,4,3-6 months,Woman,"$100,000 - $149,999"
Current member,5,4,5,6,1,6,1,9,7,8,7,0,Variety of products,"No, not at all",4,Lower pricing tiers,25-34,4,Less than 3 months,Woman,"$100,000 - $149,999"
Current member,5,5,5,6,4,6,7,9,5,8,9,5,Variety of products,"Yes, somewhat",2,More shade options,25-34,4,Less than 3 months,Woman,"$75,000 - $99,999"
Current member,4,1,2,8,9,8,8,8,9,6,4,3,No longer interested in makeup subscription services,"No, not at all",8,Flexible skipping options,35-44,4,Less than 3 months,Woman,"$50,000 - $74,999"
Current member,3,4,4,7,8,9,8,9,9,9,9,5,Variety of products,"Yes, significantly",2,Lower pricing tiers,25-34,4,3-6 months,Woman,"$50,000 - $74,999"
Former member (cancelled more than 6 months ago),5,5,2,7,5,7,9,8,6,5,6,3,Not using products enough,"Yes, significantly",5,Better customization,25-34,4,7-12 months,Woman,"$25,000 - $49,999"
Current member,4,5,4,7,9,6,9,8,7,6,6,3,Customer service issues,"Yes, somewhat",7,Lower pricing tiers,35-44,4,7-12 months,Woman,"$75,000 - $99,999"
Current member,2,3,5,8,6,8,6,9,8,9,9,3,Cost of membership,"Yes, somewhat",7,More variety in product selection,25-34,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),5,4,4,4,4,9,6,9,6,6,8,5,Lack of customization,Unsure,1,Lower pricing tiers,25-34,4,7-12 months,Woman,"$50,000 - $74,999"
Current member,4,4,1,6,9,9,6,9,9,9,7,5,Lack of customization,"Yes, somewhat",4,Flexible skipping options,18-24,4,1-2 years,Woman,"$25,000 - $49,999"
Current member,5,5,5,7,9,9,6,8,7,6,8,2,Product quality issues,"Yes, somewhat",7,Flexible skipping options,18-24,4,7-12 months,Woman,"Under $25,000"
Current member,2,2,5,9,7,2,7,8,7,8,9,5,Lack of customization,"No, not at all",2,More shade options,18-24,4,Less than 3 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),4,4,1,8,6,7,7,9,7,9,6,5,Not using products enough,"Yes, somewhat",6,More variety in product selection,18-24,4,Less than 3 months,Woman,"$100,000 - $149,999"
Current member,5,4,3,8,3,9,8,9,8,7,7,4,Variety of products,Unsure,5,More shade options,25-34,4,1-2 years,Woman,"$50,000 - $74,999"
Current member,4,1,2,7,6,9,8,9,8,4,9,2,Product quality issues,"No, not at all",6,More tutorials and tips,45-54,4,7-12 months,Woman,"$50,000 - $74,999"
Current member,4,3,4,8,8,5,8,9,5,8,8,4,Cost of membership,"Yes, somewhat",3,More shade options,25-34,4,Less than 3 months,Woman,"$75,000 - $99,999"
Former member (cancelled 3-6 months ago),3,4,5,7,7,8,7,9,9,9,8,0,Variety of products,"Yes, somewhat",4,Lower pricing tiers,25-34,4,3-6 months,Non-binary,"$75,000 - $99,999"
Former member (cancelled more than 6 months ago),3,5,5,8,9,6,4,8,9,7,8,2,Cost of membership,Unsure,1,More variety in product selection,18-24,4,7-12 months,Woman,"$75,000 - $99,999"
Former member (cancelled more than 6 months ago),3,5,4,8,3,7,8,9,7,8,7,2,Variety of products,"No, not at all",2,More tutorials and tips,18-24,4,Less than 3 months,Woman,"$50,000 - $74,999"
Former member (cancelled more than 6 months ago),2,3,4,7,2,6,8,9,9,7,6,4,Product quality issues,"Yes, somewhat",2,More shade options,35-44,4,1-2 years,Woman,"$75,000 - $99,999"
Current member,4,5,3,9,7,6,9,8,7,8,7,3,Lack of customization,"No, not at all",4,More shade options,55-64,4,7-12 months,Woman,"$50,000 - $74,999"
Current member,1,4,4,9,9,8,8,9,3,7,7,2,Lack of customization,Unsure,4,Better customization,18-24,4,More than 2 years,Woman,"$50,000 - $74,999"
Current member,5,4,3,3,2,8,6,8,5,7,9,0,Cost of membership,"No, not at all",3,Better customization,25-34,4,Less than 3 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),5,4,4,7,6,7,6,8,7,7,7,1,Not using products enough,"No, not at all",6,Lower pricing tiers,25-34,4,3-6 months,Woman,"$75,000 - $99,999"
Current member,1,5,2,9,9,9,4,9,9,9,9,5,Variety of products,"Yes, significantly",1,Lower pricing tiers,35-44,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,4,5,3,7,7,8,7,8,4,9,9,4,Cost of membership,"Yes, significantly",2,More variety in product selection,18-24,4,Less than 3 months,Woman,"Under $25,000"
Current member,5,5,5,8,9,9,8,8,7,6,8,5,Variety of products,"Yes, somewhat",6,Lower pricing tiers,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
